05/16/14 10:40:47.445 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_HOLD, bandwidth = 1474560, inputRate = 0, outputRate = 0, receiveRate = 0, qdelay = 3, rtt = 30, lossRatio = 0.000000 this=0x79239190 
05/16/14 10:40:52.478 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_HOLD, bandwidth = 1474560, inputRate = 1490400, outputRate = 1490400, receiveRate = 1307952, qdelay = 14, rtt = 30, lossRatio = 0.136719 this=0x79239190 
05/16/14 10:40:53.983 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_DOWN, bandwidth = 1266840, inputRate = 1490400, outputRate = 1490400, receiveRate = 1207392, qdelay = 16, rtt = 30, lossRatio = 0.179688 this=0x79239190 
05/16/14 10:40:58.169 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_RTT_INC, bandwidth = 1090048, inputRate = 1105312, outputRate = 1105312, receiveRate = 947112, qdelay = 45, rtt = 250, lossRatio = 0.046875 this=0x79239190 
05/16/14 10:41:00.242 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_DOWN, bandwidth = 939576, inputRate = 1105312, outputRate = 1105384, receiveRate = 951184, qdelay = 101, rtt = 180, lossRatio = 0.082031 this=0x79239190 
05/16/14 10:41:04.735 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_UP, bandwidth = 944272, inputRate = 954400, outputRate = 954880, receiveRate = 911040, qdelay = 13, rtt = 30, lossRatio = 0.070312 this=0x79239190 
05/16/14 10:41:09.937 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_HOLD, bandwidth = 948992, inputRate = 983616, outputRate = 954992, receiveRate = 926688, qdelay = 15, rtt = 40, lossRatio = 0.046875 this=0x79239190 
05/16/14 10:41:10.686 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_UP, bandwidth = 953736, inputRate = 964800, outputRate = 974208, receiveRate = 945504, qdelay = 14, rtt = 40, lossRatio = 0.007812 this=0x79239190 
05/16/14 10:41:15.025 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_DOWN, bandwidth = 869680, inputRate = 973920, outputRate = 971520, receiveRate = 915456, qdelay = 24, rtt = 100, lossRatio = 0.199219 this=0x79239190 
05/16/14 10:41:20.086 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_HOLD, bandwidth = 820392, inputRate = 835680, outputRate = 835920, receiveRate = 748480, qdelay = 14, rtt = 80, lossRatio = 0.082031 this=0x79239190 
05/16/14 10:41:20.558 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_RTT_INC, bandwidth = 820392, inputRate = 836000, outputRate = 835840, receiveRate = 815360, qdelay = 76, rtt = 130, lossRatio = 0.035156 this=0x79239190 
05/16/14 10:41:22.835 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_DOWN, bandwidth = 713040, inputRate = 835680, outputRate = 835840, receiveRate = 750576, qdelay = 100, rtt = 170, lossRatio = 0.089844 this=0x79239190 
05/16/14 10:41:27.859 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_HOLD, bandwidth = 713040, inputRate = 720800, outputRate = 720800, receiveRate = 720800, qdelay = 11, rtt = 40, lossRatio = 0.000000 this=0x79239190 
05/16/14 10:41:30.626 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_UP, bandwidth = 722304, inputRate = 720800, outputRate = 720800, receiveRate = 720800, qdelay = 10, rtt = 30, lossRatio = 0.000000 this=0x79239190 
05/16/14 10:41:35.735 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_HOLD, bandwidth = 742728, inputRate = 750400, outputRate = 747096, receiveRate = 765408, qdelay = 10, rtt = 30, lossRatio = 0.007812 this=0x79239190 
05/16/14 10:41:35.988 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_UP, bandwidth = 747936, inputRate = 750400, outputRate = 747096, receiveRate = 765408, qdelay = 10, rtt = 40, lossRatio = 0.000000 this=0x79239190 
05/16/14 10:41:37.686 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_RTT_INC, bandwidth = 752592, inputRate = 759440, outputRate = 755216, receiveRate = 622736, qdelay = 76, rtt = 130, lossRatio = 0.000000 this=0x79239190 
05/16/14 10:41:39.718 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_UP, bandwidth = 756792, inputRate = 760000, outputRate = 760008, receiveRate = 693344, qdelay = 62, rtt = 30, lossRatio = 0.000000 this=0x79239190 
05/16/14 10:41:44.755 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_HOLD, bandwidth = 768224, inputRate = 776000, outputRate = 772560, receiveRate = 775120, qdelay = 10, rtt = 30, lossRatio = 0.000000 this=0x79239190 
05/16/14 10:41:45.326 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_UP, bandwidth = 772064, inputRate = 776000, outputRate = 776000, receiveRate = 776000, qdelay = 28, rtt = 40, lossRatio = 0.000000 this=0x79239190 
05/16/14 10:41:50.386 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_HOLD, bandwidth = 783688, inputRate = 789200, outputRate = 788200, receiveRate = 787280, qdelay = 11, rtt = 40, lossRatio = 0.007812 this=0x79239190 
05/16/14 10:41:51.131 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_UP, bandwidth = 787600, inputRate = 791216, outputRate = 788200, receiveRate = 791200, qdelay = 13, rtt = 30, lossRatio = 0.007812 this=0x79239190 
05/16/14 10:41:51.804 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_RTT_INC, bandwidth = 787600, inputRate = 810864, outputRate = 783536, receiveRate = 618432, qdelay = 51, rtt = 140, lossRatio = 0.000000 this=0x79239190 
05/16/14 10:41:52.236 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_UP, bandwidth = 791536, inputRate = 795200, outputRate = 803032, receiveRate = 795200, qdelay = 63, rtt = 140, lossRatio = 0.000000 this=0x79239190 
05/16/14 10:41:54.220 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_RTT_INC, bandwidth = 795488, inputRate = 803200, outputRate = 801200, receiveRate = 802232, qdelay = 67, rtt = 140, lossRatio = 0.000000 this=0x79239190 
05/16/14 10:41:56.093 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_UP, bandwidth = 799464, inputRate = 803200, outputRate = 803200, receiveRate = 773448, qdelay = 50, rtt = 30, lossRatio = 0.000000 this=0x79239190 
05/16/14 10:41:59.858 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_DOWN, bandwidth = 799464, inputRate = 819360, outputRate = 818960, receiveRate = 785840, qdelay = 16, rtt = 30, lossRatio = 0.054688 this=0x79239190 
05/16/14 10:42:02.411 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_UP, bandwidth = 803456, inputRate = 807200, outputRate = 807200, receiveRate = 791056, qdelay = 13, rtt = 30, lossRatio = 0.019531 this=0x79239190 
05/16/14 10:42:05.514 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_DOWN, bandwidth = 803456, inputRate = 823040, outputRate = 821560, receiveRate = 804912, qdelay = 12, rtt = 30, lossRatio = 0.054688 this=0x79239190 
05/16/14 10:42:06.264 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_UP, bandwidth = 804456, inputRate = 819200, outputRate = 820640, receiveRate = 820336, qdelay = 38, rtt = 70, lossRatio = 0.007812 this=0x79239190 
05/16/14 10:42:11.047 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_RTT_INC, bandwidth = 808472, inputRate = 823856, outputRate = 823784, receiveRate = 806240, qdelay = 38, rtt = 80, lossRatio = 0.054688 this=0x79239190 
05/16/14 10:42:11.556 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_UP, bandwidth = 809480, inputRate = 823568, outputRate = 823712, receiveRate = 755840, qdelay = 20, rtt = 30, lossRatio = 0.070312 this=0x79239190 
